Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-03-13,57240.13897,57798.773311,58033.494974,55066.3
BTC,2021-03-14,61177.2,57240.181264,61752.412477,56100.1
BTC,2021-03-15,59004.410836,61190.059461,61655.405232,59001
BTC,2021-03-16,55617.800503,59004.155964,60575,54679.96
BTC,2021-03-17,56903.301661,55624.460909,56904.302447,53250.1
BTC,2021-03-18,58930,56904.060193,58953.73911,54193
BTC,2021-03-19,57648.05,58933,60062.81015,57037.4
BTC,2021-03-20,58088.134413,57648.05,59435.671253,56304.160611
BTC,2021-03-21,58095.067585,58087.099702,59877,57850
BTC,2021-03-22,57386.956984,58096.709007,58599,55552.01
BTC,2021-03-23,54108.25,57384.781465,58402.859938,53775
BTC,2021-03-24,54389.409832,54110.07,55837.077533,53009.235155
BTC,2021-03-25,52293.8,54387.172571,57200,51711.91
BTC,2021-03-26,51355.262804,52293.8,53212.83,50420.07
BTC,2021-03-27,55074.908349,51347,55085.5,51280.01
BTC,2021-03-28,55868.769462,55074.905762,56606.5,54000
BTC,2021-03-29,55780.246,55859,56537.92,54704.21
BTC,2021-03-30,57611.726034,55778.82,58377,54923.91
BTC,2021-03-31,58774.064922,57612.238204,59380,57036.088082
BTC,2021-04-01,58787.552123,58773.82829,59794.98,56888.01
BTC,2021-04-02,58726.47,58787.961877,59450.1,57951
BTC,2021-04-03,59002.133164,58726.48,60048.547988,58493.467672
BTC,2021-04-04,57093.160139,59002.132833,59758.498253,56979.5
BTC,2021-04-05,58212.383326,57093.50391,58493.5,56499
BTC,2021-04-06,59103.838674,58212.213274,59247.99,56845.276846
BTC,2021-04-07,58018.3,59120,59450.379377,57375.988396
BTC,2021-04-08,55936.684471,58019.98,58633.461676,55460.3
BTC,2021-04-09,58070.609769,55938.23204,58144.89,55728
BTC,2021-04-10,58092.68,58071.588349,58879.963643,57689.57372
BTC,2021-04-11,59777.850176,58092.68,61188.346256,57884.22
BTC,2021-04-12,59967.874311,59776.866915,60642.070838,59201
BTC,2021-04-13,59842.885547,59968.856427,61199.150171,59420
BTC,2021-04-14,63569.814955,59839.82,63734.903201,59799.01
BTC,2021-04-15,62986.09,63570.062338,64888.99,61336.1
BTC,2021-04-16,63255.649494,62986.09,63826.51,62050
BTC,2021-04-17,61435.176101,63254.390641,63579.4,60071.626852
BTC,2021-04-18,60087.754743,61435.286423,62572.48,59711.02
BTC,2021-04-19,56273.378701,60085.965915,60420.584827,51923.750197
BTC,2021-04-20,55699.006177,56272.769148,57590.6,54312
BTC,2021-04-21,56503.2,55699.309507,57110.03,53430.01
BTC,2021-04-22,53812.024525,56503.034975,56799.28827,53652
BTC,2021-04-23,51730,53811.552702,55456.38,50500
BTC,2021-04-24,51176.65,51730,52104.07,47551.381661
BTC,2021-04-25,50110.561377,51176.65,51214.289018,48755
BTC,2021-04-26,49106.5,50109.257915,50561,47073.37
BTC,2021-04-27,54056.265223,49106.5,54393.43,48872.257024
BTC,2021-04-28,55072.380008,54056.26679,55500,53345.7
BTC,2021-04-29,54880.529866,55072.326671,56457.5,53887
BTC,2021-04-30,53583.734838,54894.03,55223.23,52400.01
BTC,2021-05-01,57798.77,53583.576756,57987.8,53101.6
BTC,2021-05-02,57859.180663,57798.77,58525.621898,57077.512512
BTC,2021-05-03,56619.927891,57859.103483,57958.5,56125.8
BTC,2021-05-04,57201.591202,56620.339135,58973,56550.2
BTC,2021-05-05,53250,57201.206229,57232.849443,53128.5
BTC,2021-05-06,57498.39779,53241.92,57942.744868,53000
BTC,2021-05-07,56430.206955,57498.861237,58400,55310.97
BTC,2021-05-08,57383,56429.962101,58710.928838,55335.8
BTC,2021-05-09,58953.8,57383,59537.282691,57010.495664
BTC,2021-05-10,58293.1,58953.8,59283.5,56330
BTC,2021-05-11,55886.040695,58293.1,59581.532651,53730.882463
BTC,2021-05-12,56749.203467,55886.188064,56940.662226,54538.5
BTC,2021-05-13,49444.75,56749.56773,57999.686711,48667.05
BTC,2021-05-14,49698.931796,49444.256343,51386,46065.532042
BTC,2021-05-15,49885.337555,49698.000472,51536.960778,48920.797844
BTC,2021-05-16,46708.89,49885.784507,50710.93,46600.1
BTC,2021-05-17,46444.75,46709.519881,49775.004799,43890.2
BTC,2021-05-18,43561.339444,46444.75,46612.9,42129
BTC,2021-05-19,42908.212264,43561.147526,45820.1,42320.9
BTC,2021-05-20,36776,42895.2,43562,30037.605915
BTC,2021-05-21,40611.741012,36778.429025,42541.86891,35012.466478
BTC,2021-05-22,37344.9,40610.58299,42246.5,33545.524267
BTC,2021-05-23,37483.955135,37340.77,38841.7,35260
BTC,2021-05-24,34707.267051,37483.128697,38282.200225,31150
BTC,2021-05-25,38780.396832,34710.046305,39924.6,34472.5
BTC,2021-05-26,38389.178091,38779.402859,39841.8,36501.9
BTC,2021-05-27,39283.9,38389.260526,40865.87,37863.662245
BTC,2021-05-28,38503.47,39283.9,40397,37226.583759
BTC,2021-05-29,35691.485441,38503.47,38872,34726.51
BTC,2021-05-30,34622.508448,35689.866043,37300,33671
BTC,2021-05-31,35673.123352,34622.721191,36491,33451.3
BTC,2021-06-01,37304.800126,35673.121814,37502.354771,34201.95
BTC,2021-06-02,36678.711034,37304.780356,37918.97,35751.2
BTC,2021-06-03,37576.241784,36678.709816,38217.720277,35939.98
BTC,2021-06-04,39211.009107,37576.254406,39481.889923,37211.9
BTC,2021-06-05,36861.787174,39211.597182,39260.00552,35607.3
BTC,2021-06-06,35542.643699,36861.450792,37906,34852.74
BTC,2021-06-07,35809.66,35542.312197,36455,35277.33
BTC,2021-06-08,33587.52163,35808.85,36796.3,33359.56
BTC,2021-06-09,33404.62061,33586.663329,34055.02,31028.59
BTC,2021-06-10,37394,33404.093941,37534.765017,32437.5
BTC,2021-06-11,36679.973937,37396.4,38394,35841.82
BTC,2021-06-12,37326.228447,36679.769412,37654.3,35992.1
BTC,2021-06-13,35542,37326.724635,37438.3,34680
BTC,2021-06-14,39040.4,35542,39362.073545,34801
BTC,2021-06-15,40530.495,39034.6,41022.7,38773.02
BTC,2021-06-16,40171.47,40530.495,41306.08,39571.1
BTC,2021-06-17,38341.975932,40171.47,40490,38125
BTC,2021-06-18,38076,38342.377163,39526.73,37405
BTC,2021-06-19,35790.22,38076,38185.733138,35160.3
BTC,2021-06-20,35507.06,35824,36440,34889.761659
BTC,2021-06-21,35585.5,35507.06,36109,33370
BTC,2021-06-22,31655.2,35585.5,35736.25,31261.66
BTC,2021-06-23,32516.2,31655.2,33289,28825.760465
BTC,2021-06-24,33669.197309,32516.2,34836.5,31728.5
BTC,2021-06-25,34651.093946,33669.639114,35245.52,32334
BTC,2021-06-26,31600.5,34651.121906,35488.96032,31304.1
BTC,2021-06-27,32273,31600.5,32691.1,30179.1
BTC,2021-06-28,34678.928153,32264.947196,34700,32018.612372
BTC,2021-06-29,34472,34679.532743,35281,33900
BTC,2021-06-30,35038.210655,34472,35124.7,34266.013027
BTC,2021-07-01,35045.523661,35900,36086.8,34067.2
BTC,2021-07-02,33541.988997,35046.402164,35060.92,32750
BTC,2021-07-03,33811.56,33542.296471,33963.5,32721.4
BTC,2021-07-04,34682.877855,33811.56,34930,33348.9
BTC,2021-07-05,35298.929966,34682.914563,35945.454033,34404.29
BTC,2021-07-06,33717.386154,35298.300343,35298.300343,33161.84
BTC,2021-07-07,34230.441999,33715.547897,35096.18,33559.9
BTC,2021-07-08,33874.860081,34230.760004,35059.02,33825.843463
BTC,2021-07-09,32880.183855,33875.082385,33933.4,32118
BTC,2021-07-10,33812.391515,32879.837419,34078.99,32286
BTC,2021-07-11,33513.197442,33812.395321,34242.5,33047.5
BTC,2021-07-12,34239.065308,33513.191514,34587.32,33338.480347
BTC,2021-07-13,33107.84,34246.9,34664.1,32676.928465
BTC,2021-07-14,32729.120502,33111.5,33329.7,32204
BTC,2021-07-15,32818.176505,32729.735896,33069.2084,31601
BTC,2021-07-16,31857.436838,32818.17689,33179,31150.1
BTC,2021-07-17,31396.633538,31858.487181,32250,31050
BTC,2021-07-18,31522.353236,31396.939119,31934.4,31180.43
BTC,2021-07-19,31786.011383,31523.22517,32429.88,31133.4
BTC,2021-07-20,30822.207157,31786.009204,31881.71,30430
BTC,2021-07-21,29789.94,30822.886768,31052.64,29303
BTC,2021-07-22,32125,29792.581814,32794.93,29506.49
BTC,2021-07-23,32280.94,32125,32595.504,31737
BTC,2021-07-24,33638.9,32294.591877,33639,32019.69
BTC,2021-07-25,34284.6,33639,34507.347158,33430.691451
BTC,2021-07-26,35415.15719,34288.732194,35428.9,33888.89
BTC,2021-07-27,37291.24,35415.751479,40529.245246,35282.7
BTC,2021-07-28,39491.920955,37291.24,39503.5,36432.76
BTC,2021-07-29,40018.316221,39492.659169,40890,38825.63
BTC,2021-07-30,40025.273586,40019.457652,40627.694568,39301.3
BTC,2021-07-31,42209.9,40025.271252,42306.8,38359
BTC,2021-08-01,41454.1,42229.6,42376,41083.5
BTC,2021-08-02,39889.1,41475,42595.43,39452.09
BTC,2021-08-03,39170.988243,39889.1,40440.8,38700
BTC,2021-08-04,38163,39165.55,39776.65,37655
BTC,2021-08-05,39732.674504,38166.736758,39953.653642,37527.9
BTC,2021-08-06,40885.5,39732.408191,41392,37354.572018
BTC,2021-08-07,42835.756114,40885.5,43349.07,39900
BTC,2021-08-08,44637.441867,42837.415904,44737.28192,42501.01
BTC,2021-08-09,43829.15,44637.905288,45340.6,43320
BTC,2021-08-10,46307.1,43829.14,46484,42839
BTC,2021-08-11,45603.173957,46307.1,46688,44668.06
BTC,2021-08-12,45576.148313,45603.177064,46769.445085,45373.9
BTC,2021-08-13,44425.291339,45571.7,46218.293016,43821.915437
BTC,2021-08-14,47833.62112,44425.310576,47877,44265.56
BTC,2021-08-15,47102.075494,47833.621735,48152.88,46042.5
BTC,2021-08-16,47028.3,47102.706711,47384.9,45552.4
BTC,2021-08-17,45930.51,47028.3,48055.4,45690.046473
BTC,2021-08-18,44682.032497,45930.51,47153.47,44436.5
BTC,2021-08-19,44721.13,44680.427927,46008.243125,44242.349605
BTC,2021-08-20,46759.04603,44721.13,47040.858038,43989.904757
BTC,2021-08-21,49336.563516,46759.002484,49387,46665.995198
BTC,2021-08-22,48884.34,49336.596666,49790.558333,48300
BTC,2021-08-23,49299.916729,48884.34,49522.75,48107.88
BTC,2021-08-24,49542.070619,49299.930161,50500,49059.817563
BTC,2021-08-25,47716.28431,49538.959516,49868.220328,47624.5
BTC,2021-08-26,48987.65,47714.485987,49245,47150.847304
BTC,2021-08-27,46852.169873,48987.33,49350,46324
BTC,2021-08-28,49074.9,46851.013962,49167,46386.4
BTC,2021-08-29,48919.620247,49074.9,49303.45,48406.2
BTC,2021-08-30,48800.467389,48919.828006,49649.5,47821.023
BTC,2021-08-31,46992.592288,48799.325419,48900,46875.2
BTC,2021-09-01,47132.032415,46992.075276,48248,46715.6
BTC,2021-09-02,48849.400933,47130.91965,49095.5,46542.021807
BTC,2021-09-03,49290.3,48848.355499,50374.970474,48629
BTC,2021-09-04,50024.051161,49290.3,51037.008955,48356
BTC,2021-09-05,49941.214171,50024.280565,50545.827725,49436.25
BTC,2021-09-06,51786.697327,49941.272617,51898.093046,49516.5
BTC,2021-09-07,52691.899881,51787.43294,52794.9,51036.727209
BTC,2021-09-08,46843.218,52692.217886,52912.917174,42921.274275
BTC,2021-09-09,46072.2974,46843.218,47359.8,44457.11
BTC,2021-09-10,46382.152118,46072.006462,47396.98,45575.2
BTC,2021-09-11,44847.911819,46383.100158,47029.03,44200
BTC,2021-09-12,45162.011898,44848.855228,45983.5,44767.75
BTC,2021-09-13,46061.3,45162.392251,46417.1,44770.1
BTC,2021-09-14,44966.235424,46061.3,46843.67,43480.540171
BTC,2021-09-15,47103.18,44965.766059,47250.179433,44704.18
BTC,2021-09-16,48149.959621,47103.18,48453.08,46744
BTC,2021-09-17,47763.887278,48150.1309,48485.8,47047.98
BTC,2021-09-18,47287.782353,47763.880448,48165.5,46763.62
BTC,2021-09-19,48315.197439,47288.481172,48800,47078
BTC,2021-09-20,47246.934015,48315.196916,48369.5,46865.89
BTC,2021-09-21,42993,47247.690778,47308.683038,42527.5
BTC,2021-09-22,40654.915564,42992.9,43614.6,39612
BTC,2021-09-23,43578.001378,40657.803722,44015.2,40591.69767
BTC,2021-09-24,44893.893303,43578.134747,44979.4,43113.30871
BTC,2021-09-25,42846.953749,44893.965503,45142.5,40750
BTC,2021-09-26,42709.748968,42847.20033,42979.27,41712.50421
BTC,2021-09-27,43191.06,42709.749695,43911.59,40810.24
BTC,2021-09-28,42189.81,43190.868365,44333,42130
BTC,2021-09-29,41041.971491,42189.81,42759.109289,40910.5
BTC,2021-09-30,41538.222404,41041.728527,42578.1,40782.34
BTC,2021-10-01,43798.7,41536.736023,44098.32,41430.13
BTC,2021-10-02,48163.141468,43799.939031,48462,43301.3
BTC,2021-10-03,47685.143161,48163.7,48343.8,47484.838173
BTC,2021-10-04,48224.470492,47684.382819,49214.85,47133.5
BTC,2021-10-05,49235.806046,48225.819835,49497.68,46937.62
BTC,2021-10-06,51507.373896,49238.5,51895.124402,49084.91
BTC,2021-10-07,55349.498323,51506.9709,55735.515093,50433
BTC,2021-10-08,53790.435009,55348.455418,55351.3,53436.864473
BTC,2021-10-09,53933.773768,53791.879181,56078.07,53684.985602
BTC,2021-10-10,54956.034969,53935.316308,55463.67,53714
BTC,2021-10-11,54714.95,54956.60889,56491.5,54133.75
BTC,2021-10-12,57493.059404,54713.779378,57819.12,54472.6
BTC,2021-10-13,55995.49,57492.757392,57646.86,54111.7
BTC,2021-10-14,57378.008691,55995.49,57768,54290
BTC,2021-10-15,57355.5,57378.396202,58518.6,56871.37
BTC,2021-10-16,61684.286623,57355.5,62873,56892.552324
BTC,2021-10-17,60870.26,61684.235331,62325.227554,60162
BTC,2021-10-18,61527.559626,60870.26,61674.3,59049.6
BTC,2021-10-19,62064.09,61530.347766,62652.4,59935
BTC,2021-10-20,64276.538824,62042.41,64476.26257,61424.44
BTC,2021-10-21,66008.473976,64278.466658,66974.77,63553.12
BTC,2021-10-22,62211.535675,66008.59028,66625.91,62060.4
BTC,2021-10-23,60691.482567,62211.832094,63717.6,60034.2
BTC,2021-10-24,61326.307736,60691.69815,61726.511747,59673.07
BTC,2021-10-25,60871.595593,61325.153269,61472.208472,59540.74
BTC,2021-10-26,63081.8,60870.931464,63706.403562,60675.402206
BTC,2021-10-27,60317.605367,63081.8,63276.5,59884.5
BTC,2021-10-28,58475.394967,60318.026796,61473,58151.725
BTC,2021-10-29,60592.76,58474.248024,62376.6,58003.6
BTC,2021-10-30,62266.303808,60591.65,62951.987229,60233
BTC,2021-10-31,61864.893408,62266.870746,62359.2,60794.8
BTC,2021-11-01,61356.063842,61871.084465,62422.8,60038.609576
BTC,2021-11-02,60954.5,61354.996182,62468.01,59562.9
BTC,2021-11-03,63258.73,60954.5,64292.82,60685.57
BTC,2021-11-04,62942.9,63260,63548.48,60525.945927
BTC,2021-11-05,61446.47,62942.9,63107.3,60775.267511
BTC,2021-11-06,61028.214505,61445.403118,62613.4,60792.936568
BTC,2021-11-07,61536.394524,61026.246248,61581.5,60138.152936
BTC,2021-11-08,63300.280204,61536.437838,63300.280204,61406.083654
BTC,2021-11-09,67553.94893,63300.303264,67777.7,63300.184893
BTC,2021-11-10,66935.885091,67554.84,68525.836466,66316
BTC,2021-11-11,64972.242739,66937.032399,68990.9,63036.178866
BTC,2021-11-12,64837.489746,64968.646276,65590,64147.18
BTC,2021-11-13,64158.41,64825.4,65467.38,62321.5
BTC,2021-11-14,64414.909083,64158.41,64962.21,63409.78247
BTC,2021-11-15,65496.011455,64414.459526,65496.011455,63632.910172
BTC,2021-11-16,63617.049289,65496.033109,66330.5,63437.29
BTC,2021-11-17,60128.563125,63617.046013,63617.522035,58673.84
BTC,2021-11-18,60373.362838,60126.200373,60824.21,58441.91
BTC,2021-11-19,56921.7,60371.092084,60960.2,56527.75
BTC,2021-11-20,58128.423689,56921.7,58394.388941,55666.409298
BTC,2021-11-21,59752.144235,58128.876204,59885.423093,57440
BTC,2021-11-22,58684.5,59753.945706,60049.9,58570.1
BTC,2021-11-23,56309.762162,58684.5,59390.6,55679.98
BTC,2021-11-24,57576.849631,56306.702269,57864.663392,55460.96
BTC,2021-11-25,57193.709727,57574.284935,57738.9,55909
BTC,2021-11-26,58959.315555,57191.010164,59434.22189,57063.233636
BTC,2021-11-27,53712.21,58961.101321,59191.89,53563.820072
BTC,2021-11-28,54784.9,53757.67,55313.5,53665.434814
BTC,2021-11-29,57303.185972,54784.9,57461.551028,53359.8
BTC,2021-11-30,57834.357549,57305.932502,58890.733509,56770.71
BTC,2021-12-01,56973.182042,57834.367211,59223.380063,55948.430857
BTC,2021-12-02,57237.271634,56974.12,59096.879231,56519.767749
BTC,2021-12-03,56524.829562,57236.861498,57405.5,55858.3
BTC,2021-12-04,53694.69,56523.505903,57652,51808.5445
BTC,2021-12-05,49266.12,53662.510658,53857.42,42019.861197
BTC,2021-12-06,49455.282036,49255.1,49759.584508,47842.9
BTC,2021-12-07,50564.3,49456.460834,50965.025685,47261.5
BTC,2021-12-08,50638.162863,50564.3,51960.354935,50100.1
BTC,2021-12-09,50512.038512,50637.752392,51221.725669,48725.86
BTC,2021-12-10,47594.381934,50512.682707,50818,47341.849379
BTC,2021-12-11,47162.32405,47593.623896,50038.2,46919.616
BTC,2021-12-12,49353.419314,47164.293119,49498.1,46805.095
BTC,2021-12-13,50103.541821,49367.2,50790.188479,48703.3
BTC,2021-12-14,46732.738495,50102.392333,50205.5,45788.16
BTC,2021-12-15,48386.307184,46731.406233,48657.13,46313.7
BTC,2021-12-16,48881.3,48386.236951,49494.26,46584.365441
BTC,2021-12-17,47641.297379,48882.801842,49428.57,47548.744957
BTC,2021-12-18,46177.88798,47641.086459,47998.560466,45500
BTC,2021-12-19,46859.394278,46176.665877,47340.642998,45545.008685
BTC,2021-12-20,46688.4,46858.500235,48279.99,46474.175311
BTC,2021-12-21,46910.249593,46687.19,47535.7,45588.834619
BTC,2021-12-22,48921.134112,46912.333306,49319.5,46665.587219
BTC,2021-12-23,48610.619112,48920.963638,49574.1,48468.54604
BTC,2021-12-24,50807,48610.622573,51378,48060.68
BTC,2021-12-25,50834.3,50818.8,51851.165,50465.04
BTC,2021-12-26,50430.073507,50834.3,51144.616712,50217.01
BTC,2021-12-27,50792.036921,50430.104759,51241.8,49483.3
BTC,2021-12-28,50696.80216,50792.240989,52061.64,50480.2
BTC,2021-12-29,47535.309698,50696.802023,50709.972512,47318.93
BTC,2021-12-30,46471.23,47535.919464,48130.998494,46120
BTC,2021-12-31,47128.468155,46471.24,47912.301142,45991.21
BTC,2022-01-01,46208.210437,47127.968178,48570.092839,45663.35
BTC,2022-01-02,47739.420026,46207.405965,47927.865564,46205.113033
BTC,2022-01-03,47317.947964,47738.764099,47957.23381,46701.4
BTC,2022-01-04,46434.508081,47316.178587,47567.2,45717.5
BTC,2022-01-05,45837.130344,46436.125952,47501.971144,45568.6
BTC,2022-01-06,43428.699545,45836.905984,47058.5,42503.880401
BTC,2022-01-07,43107.257821,43432.053752,43753.49223,42435.402
BTC,2022-01-08,41534.350712,43106.487593,43129.82681,40745.702117
BTC,2022-01-09,41687.227593,41535.495343,42308.143821,40562.49
BTC,2022-01-10,41861.803632,41687.020626,42786.7,41255.3
BTC,2022-01-11,41838.40628,41863.140231,42241.736467,39677.652134
BTC,2022-01-12,42737.637061,41837.225666,43106.047087,41299.511552
BTC,2022-01-13,43921.81,42736.778968,44324,42480.7
BTC,2022-01-14,42558.937409,43920.614432,44418.7,42349.434153
BTC,2022-01-15,43090.200356,42560.852012,43453.56,41800
BTC,2022-01-16,43104.686581,43090.089373,43794.063623,42609.69
BTC,2022-01-17,43102.957367,43103.909911,43475.519539,42620.04
BTC,2022-01-18,42223.860989,43102.939752,43199.5,41579.358917
BTC,2022-01-19,42374.851714,42223.733887,42662.24,41302.5
BTC,2022-01-20,41684.390662,42374.761812,42563.5,41167.04
BTC,2022-01-21,40716.680726,41684.004205,43494.406004,40570.778121
BTC,2022-01-22,36485.436798,40713.972314,41105.58,35501.072174
BTC,2022-01-23,35071.804446,36483.314556,36810.01,34064.9
BTC,2022-01-24,36285.926944,35070.896987,36514.853501,34630.98
BTC,2022-01-25,36699.614179,36285.633626,37500,32983.59
BTC,2022-01-26,36971.571269,36699.999462,37544.2,35730.449773
BTC,2022-01-27,36827.674589,36970.783896,38920.712256,36285.05074
BTC,2022-01-28,37197.821249,36828.097867,37242.5,35550
BTC,2022-01-29,37748.36,37197.309145,38008.201832,36183.2
BTC,2022-01-30,38176.097725,37748.36,38716.7,37353.5
BTC,2022-01-31,37928.575488,38176.886567,38353.3,37389
BTC,2022-02-01,38499.876388,37925.166353,38741.679516,36681.035742
BTC,2022-02-02,38722.518519,38499.854063,39262.1,38047.700521
BTC,2022-02-03,36923.5,38721.796326,38876.8,36644.82
BTC,2022-02-04,37303.9,36923.5,37356.8,36270.18
BTC,2022-02-05,41586.856262,37320.11,41736.36,37066.944366
BTC,2022-02-06,41420.436241,41587.625134,41926.4,40974.768394
BTC,2022-02-07,42414.080523,41420.186421,42690,41151.78
BTC,2022-02-08,43861.85,42415.16,44508,41704.2
BTC,2022-02-09,44074.346549,43866.75,45488.02,42721.17
BTC,2022-02-10,44421.009164,44074.542026,44832.609556,43186.672669
BTC,2022-02-11,43522.24137,44420.946134,45843.6,43249.86
